name,url,description
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,
Fundamentals of Physics (New),https://www.shl.com/products/product-catalog/view/fundamentals-of-physics-new/,
HiPo Assessment Report 1.0,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-1-0/,
Java Frameworks (New),https://www.shl.com/products/product-catalog/view/java-frameworks-new/,
Oracle PL/SQL (New),https://www.shl.com/products/product-catalog/view/oracle-plsql-new/,
SAP ABAP (Advanced Level) (New),https://www.shl.com/products/product-catalog/view/sap-abap-advanced-level-new/,
Petroleum Engineering (New),https://www.shl.com/products/product-catalog/view/petroleum-engineering-new/,
Pharmacology (New),https://www.shl.com/products/product-catalog/view/pharmacology-new/,
Ruby (New),https://www.shl.com/products/product-catalog/view/ruby-new/,
ASP .NET with C# (New),https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,
OPQ Profile Report,https://www.shl.com/products/product-catalog/view/opq-profile-report/,
Verify G+ - Ability Test Report,https://www.shl.com/products/product-catalog/view/verify-g-ability-test-report/,
Statistical Analysis System (New),https://www.shl.com/products/product-catalog/view/statistical-analysis-system-new/,
C# Programming (New),https://www.shl.com/products/product-catalog/view/c-programming-new-4039/,
Visual Comparison - UK,https://www.shl.com/products/product-catalog/view/visual-comparison-uk/,
Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,
Cardiology and Diabetes Management (New),https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new/,
OPQ User and Managers Report,https://www.shl.com/products/product-catalog/view/opq-user-and-managers-report/,
Cisco AppDynamics (New),https://www.shl.com/products/product-catalog/view/cisco-appdynamics-new/,
Workplace Health and Safety (New),https://www.shl.com/products/product-catalog/view/workplace-health-and-safety-new/,
Manufac. & Indust. - Safety & Dependability 8.0,https://www.shl.com/products/product-catalog/view/safety-and-dependability-focus-8-0/,
Jenkins (New),https://www.shl.com/products/product-catalog/view/jenkins-new/,
Spring (New),https://www.shl.com/products/product-catalog/view/spring-new/,
SAP ABAP (Intermediate Level) (New),https://www.shl.com/products/product-catalog/view/sap-abap-intermediate-level-new/,
HTML5 (New),https://www.shl.com/products/product-catalog/view/html5-new/,
Managerial Scenarios Candidate Report,https://www.shl.com/products/product-catalog/view/managerial-scenarios-candidate-report/,
Linux Administration (New),https://www.shl.com/products/product-catalog/view/linux-administration-new/,
Customer Service Phone Simulation,https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/,
Linux Operating System,https://www.shl.com/products/product-catalog/view/linux-operating-system/,
Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development/,
Multitasking Ability,https://www.shl.com/products/product-catalog/view/multitasking-ability/,
Manufacturing & Industrial - Essential Focus 8.0,https://www.shl.com/products/product-catalog/view/essential-focus-8-0/,
Interviewing and Hiring Concepts (U.S.),https://www.shl.com/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,
Load Runner (New),https://www.shl.com/products/product-catalog/view/load-runner-new/,
Visual Comparison - US,https://www.shl.com/products/product-catalog/view/visual-comparison-us/,
Verify Interactive G+ Report,https://www.shl.com/products/product-catalog/view/verify-interactive-g-report/,
MongoDB (New),https://www.shl.com/products/product-catalog/view/mongodb-new/,
HIPAA (Security),https://www.shl.com/products/product-catalog/view/hipaa-security/,
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,
Automation Anywhere RPA Development (New),https://www.shl.com/products/product-catalog/view/automation-anywhere-rpa-development-new/,
Kubernetes (New),https://www.shl.com/products/product-catalog/view/kubernetes-new/,
Hibernate (New),https://www.shl.com/products/product-catalog/view/hibernate-new/,
